1728232319
0xfcbf 0xfb88 0xfb49 0xfadb 0xfa79 0xfa39 0xfa1e 0xf9f2 0xfa0c 0xfa0a 0xfa4e 0xfa82 0xfad3 0xfb21 0xfba2 0xfbfb 
0xfc77 0xfb68 0xfaf0 0xfa84 0xfa21 0xf9c4 0xf99d 0xf97c 0xf96f 0xf9a7 0xfa03 0xfa34 0xfa99 0xfae0 0xfb5b 0xfbc0 
0xfd27 0xfbef 0xfaa2 0xfa21 0xf9b7 0xf95c 0xf91a 0xf916 0xf8fe 0xf928 0xf974 0xf9d1 0xfa22 0xfa91 0xfb29 0xfb89 
0xfd17 0xfcd7 0xfb7f 0xf9f1 0xf964 0xf903 0xf8cd 0xf8b2 0xf8ac 0xf8d6 0xf93f 0xf988 0xf9e4 0xfa4e 0xfaf1 0xfb6a 
0xfcb2 0xfc72 0xfc52 0xfab4 0xf925 0xf8b7 0xf887 0xf87b 0xf864 0xf8a8 0xf8f5 0xf946 0xf98e 0xfa18 0xfac1 0xfb48 
0xfc8e 0xfc60 0xfc7c 0xfc05 0xf9e3 0xf8b0 0xf893 0xf857 0xf84d 0xf88a 0xf8e0 0xf919 0xf98d 0xfa0e 0xfab7 0xfb60 
0xfcc6 0xfc57 0xfc01 0xfbfd 0xfbc1 0xf909 0xf86b 0xf86c 0xf82e 0xf85e 0xf8aa 0xf916 0xf990 0xf9fe 0xfabf 0xfb3b 
0xfd17 0xfcd2 0xfcbd 0xfca4 0xfc64 0xfb35 0xf8ff 0xf88c 0xf86d 0xf8a9 0xf8ef 0xf944 0xf9a6 0xfa30 0xfac4 0xfb67 
0xfd49 0xfd28 0xfd16 0xfcd7 0xfc45 0xfbfa 0xfa6e 0xf8bb 0xf8c0 0xf8b2 0xf906 0xf98a 0xf9d2 0xfa3f 0xfafe 0xfb71 
0xfd57 0xfd33 0xfd22 0xfcf8 0xfcb0 0xfc6b 0xfc2c 0xf9f6 0xf929 0xf914 0xf96a 0xf9d9 0xfa41 0xfadb 0xfb35 0xfbb0 
0xfd14 0xfd02 0xfce0 0xfceb 0xfcd0 0xfca1 0xfc6b 0xfbb1 0xf9ad 0xf979 0xf9b2 0xfa19 0xfaa1 0xfadb 0xfb5f 0xfbd1 
0xfd17 0xfcf8 0xfcec 0xfca6 0xfca9 0xfcb6 0xfc9d 0xfc33 0xfb21 0xf9f1 0xfa4a 0xfa96 0xfad7 0xfb29 0xfb9d 0xfc00 
0x54e2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcfd 0xf533 0x20a8 0xd7f2 0xfff8 0xfffa 0x0008 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c3 0x170c 0x170c 0x170c 0x170c 0x170b 0x170b 0x170b 0xfcfa 0xcc65 0xcf31 0xd71f 0xfff6 0xfff3 0x0008 0x000a 
