1728233639
0xfc26 0xfbc8 0xfbdb 0xfc52 0xfc8d 0xfc99 0xfd02 0xfd80 0xfd58 0xfdbe 0xfdd7 0xfdb0 0xfd00 0xfd45 0xfd9d 0xfdf1 
0xfbe8 0xfb8d 0xfb2f 0xfb30 0xfbac 0xfc06 0xfd04 0xfd6f 0xfd65 0xfd1e 0xfd42 0xfd64 0xfd4d 0xfd33 0xfda5 0xfdd6 
0xfb87 0xfb10 0xfaba 0xfa67 0xf9e9 0xfa37 0xfb01 0xfbfc 0xfc48 0xfc4a 0xfc37 0xfca1 0xfd2f 0xfd99 0xfd88 0xfd77 
0xfb88 0xfb07 0xfa93 0xfa32 0xf990 0xf931 0xf932 0xf9a6 0xfaa8 0xfb7d 0xfbe7 0xfc2d 0xfcd0 0xfd6a 0xfd82 0xfd46 
0xfb52 0xfabd 0xfa59 0xf9e5 0xf952 0xf907 0xf8ca 0xf8bf 0xf8aa 0xf927 0xfa58 0xfbd3 0xfc32 0xfc0e 0xfd04 0xfdc8 
0xfb42 0xfac1 0xfa46 0xf9cd 0xf93d 0xf8f0 0xf8cc 0xf8b7 0xf89a 0xf8e0 0xf952 0xf9a4 0xfa49 0xfb68 0xfc40 0xfcfb 
0xfb35 0xfaa5 0xfa33 0xf9b7 0xf933 0xf8c7 0xf8a1 0xf898 0xf8aa 0xf8de 0xf94c 0xf996 0xfa02 0xfa85 0xfb2a 0xfbdb 
0xfb4f 0xfac6 0xfa55 0xf9db 0xf965 0xf90b 0xf8e9 0xf8d6 0xf8cf 0xf901 0xf94f 0xf9a9 0xfa35 0xfaa7 0xfb47 0xfbd7 
0xfb5f 0xfad5 0xfa6f 0xfa0e 0xf985 0xf939 0xf922 0xf904 0xf911 0xf92d 0xf9ab 0xf9f5 0xfa55 0xfabf 0xfb55 0xfbeb 
0xfb83 0xfb15 0xfab6 0xfa60 0xf9df 0xf9b1 0xf98d 0xf971 0xf97d 0xf9ae 0xfa03 0xfa53 0xfab0 0xfb26 0xfbb0 0xfc40 
0xfba7 0xfb3a 0xfae5 0xfa90 0xfa3b 0xf9ef 0xf9d1 0xf9bd 0xf9c5 0xfa02 0xfa6d 0xfaa0 0xfafd 0xfb61 0xfbf3 0xfcae 
0xfc5e 0xfb59 0xfb2d 0xfac9 0xfa8b 0xfa49 0xfa39 0xfa36 0xfa42 0xfa62 0xface 0xfb09 0xfb52 0xfbb0 0xfc64 0xfda6 
0x5280 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd79 0xf59e 0x1fb4 0xd94f 0xfffe 0xfffa 0x0005 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0594 0x1652 0x1652 0x1652 0x1652 0x1651 0x1651 0x1651 0xfd73 0xce15 0xd0e7 0xd8ed 0xfffc 0xfff7 0x0005 0x0006 
