1728236369
0xfcfa 0xfcba 0xfc9a 0xfc94 0xfc70 0xfc02 0xfbe9 0xfbdd 0xfbbf 0xfbd0 0xfbf2 0xfc32 0xfc59 0xfc8e 0xfcf2 0xfd9e 
0xfc82 0xfc0a 0xfb8e 0xfb0e 0xfaa3 0xfa2c 0xfa0c 0xf9b5 0xf9c1 0xf9e8 0xfa36 0xfa83 0xfadd 0xfb35 0xfba8 0xfc7f 
0xfbbf 0xfb30 0xfaa9 0xfa53 0xf9c7 0xf974 0xf958 0xf927 0xf911 0xf94c 0xf999 0xf9f9 0xfa65 0xfac6 0xfb4c 0xfbcb 
0xfb8f 0xfb07 0xfa8f 0xfa08 0xf999 0xf91f 0xf906 0xf8cf 0xf8c7 0xf8ff 0xf94e 0xf9c1 0xfa17 0xfac1 0xfb33 0xfbc3 
0xfb51 0xfac0 0xfa3f 0xf9ae 0xf929 0xf8c2 0xf891 0xf88d 0xf86f 0xf899 0xf8fc 0xf965 0xf9d9 0xfa6c 0xfaf7 0xfb8b 
0xfb55 0xfab2 0xfa35 0xf9a1 0xf91b 0xf8c6 0xf88a 0xf864 0xf86d 0xf878 0xf8f9 0xf950 0xf9c6 0xfa5d 0xfaef 0xfb89 
0xfb24 0xfa93 0xfa15 0xf9a6 0xf90c 0xf89d 0xf86c 0xf83b 0xf83c 0xf865 0xf8f0 0xf947 0xf9aa 0xfa44 0xfade 0xfb7c 
0xfb43 0xfab0 0xfa44 0xf9c9 0xf93f 0xf8d1 0xf8a1 0xf897 0xf887 0xf8b2 0xf935 0xf97b 0xf9d2 0xfa72 0xfb25 0xfba3 
0xfb38 0xfabb 0xfa3f 0xf9ce 0xf93c 0xf8c9 0xf8bf 0xf89c 0xf892 0xf8ec 0xf927 0xf996 0xf9fd 0xfa80 0xfb22 0xfbb5 
0xfb7e 0xfafd 0xfa90 0xfa25 0xf9b7 0xf953 0xf933 0xf90f 0xf905 0xf944 0xf9a2 0xf9fb 0xfa60 0xfae0 0xfb89 0xfbf1 
0xfb76 0xfb11 0xfaad 0xfa51 0xfa00 0xf999 0xf997 0xf974 0xf96b 0xf97a 0xf9e7 0xfa2b 0xfaa7 0xfb0a 0xfb97 0xfc3a 
0xfbae 0xfb34 0xfb02 0xfa88 0xfa3f 0xfa00 0xfa00 0xf9c7 0xf9ed 0xf9eb 0xfa5a 0xfaa2 0xfb0e 0xfb75 0xfc0c 0xfd09 
0x51ce 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdce 0xf597 0x1e19 0xd764 0xfff3 0xfff6 0x0000 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05df 0x177d 0x177d 0x177d 0x177d 0x177c 0x177c 0x177c 0xfdca 0xccda 0xced3 0xd7ed 0xfff5 0xfff0 0x0004 0x0006 
