1728233939
0xfbfb 0xfb92 0xfb56 0xfb02 0xfa97 0xfa5d 0xfa48 0xfa21 0xfa1f 0xfa33 0xfa74 0xfad2 0xfb01 0xfb40 0xfbcb 0xfc7e 
0xfbe2 0xfb81 0xfb20 0xfac2 0xfa59 0xfa08 0xf9e2 0xf9de 0xf9be 0xf9e2 0xfa20 0xfa6d 0xface 0xfb31 0xfba4 0xfc18 
0xfb90 0xfb2a 0xfabb 0xfa49 0xf9f5 0xf989 0xf980 0xf966 0xf94e 0xf95e 0xf9bb 0xfa24 0xfa60 0xfacc 0xfb6a 0xfbd2 
0xfb88 0xfb01 0xfa8e 0xfa2a 0xf998 0xf963 0xf933 0xf917 0xf922 0xf936 0xf9b4 0xf9f7 0xfa5b 0xfac4 0xfb47 0xfbe2 
0xfb60 0xfacf 0xfa55 0xf9f2 0xf96c 0xf908 0xf8da 0xf8ce 0xf8d6 0xf8f1 0xf951 0xf99f 0xfa08 0xfa94 0xfb37 0xfbad 
0xfb64 0xfad7 0xfa5e 0xf9e8 0xf944 0xf8f3 0xf8dd 0xf8a3 0xf8bf 0xf8f2 0xf93d 0xf99f 0xfa2b 0xfaab 0xfb36 0xfbb1 
0xfb39 0xfab3 0xfa44 0xf9bc 0xf956 0xf8dc 0xf8ad 0xf8d4 0xf89a 0xf8d6 0xf952 0xf9a2 0xfa23 0xfa9d 0xfb41 0xfbc3 
0xfb59 0xfad8 0xfa7e 0xfa16 0xf975 0xf930 0xf911 0xf8dc 0xf8de 0xf918 0xf97e 0xf9d8 0xfa48 0xfad1 0xfb66 0xfbdf 
0xfb53 0xfae6 0xfa70 0xfa27 0xf9aa 0xf9b7 0xf924 0xf91b 0xf911 0xf945 0xf992 0xfa16 0xfa57 0xfaec 0xfb68 0xfbfd 
0xfc0a 0xfb32 0xfac3 0xfa61 0xfa28 0xf9c9 0xf996 0xf98a 0xf981 0xf9a6 0xfa0b 0xfa77 0xfac6 0xfb29 0xfbb1 0xfc42 
0xfc7a 0xfbe6 0xfaf6 0xfaa6 0xfa51 0xfa13 0xf9f3 0xf9ea 0xf9c8 0xfa01 0xfa64 0xfab7 0xfb05 0xfb7c 0xfbec 0xfce0 
0xfcd4 0xfc85 0xfbf9 0xfaea 0xfaaa 0xfa59 0xfa5f 0xfa36 0xfa37 0xfa6e 0xfadc 0xfafb 0xfb68 0xfbba 0xfc7a 0xfd96 
0x5651 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd66 0xf5b1 0x2002 0xd78f 0xfff9 0xfff8 0x0006 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c9 0x1724 0x1724 0x1724 0x1724 0x1723 0x1723 0x1723 0xfd63 0xcb96 0xce3f 0xd700 0xfff7 0xfff5 0x0008 0x0008 
