1728233369
0xfbdc 0xfb57 0xfaea 0xfab6 0xfa3d 0xf9fc 0xf9c5 0xf9bf 0xf9b5 0xf9c8 0xfa10 0xfa4d 0xfaa3 0xfafc 0xfcdb 0xfd87 
0xfba9 0xfb39 0xfac3 0xfa56 0xf9d0 0xf984 0xf967 0xf942 0xf930 0xf952 0xf9a6 0xf9fa 0xfa4f 0xfaf6 0xfd04 0xfd8d 
0xfb42 0xfabf 0xfa5f 0xf9fb 0xf95d 0xf8fd 0xf8cf 0xf8b9 0xf8b3 0xf8ea 0xf93a 0xf997 0xf9ec 0xfacc 0xfcd9 0xfd93 
0xfb42 0xfab4 0xfa32 0xf9c6 0xf913 0xf8a5 0xf88f 0xf875 0xf870 0xf894 0xf8f5 0xf96f 0xf9cf 0xfb19 0xfd10 0xfd95 
0xfb0b 0xfa69 0xf9f6 0xf973 0xf8d0 0xf87a 0xf839 0xf827 0xf811 0xf851 0xf8ac 0xf919 0xf9a4 0xfb49 0xfcef 0xfd94 
0xfaf9 0xfa68 0xf9e0 0xf95c 0xf8b9 0xf863 0xf839 0xf823 0xf809 0xf853 0xf8cb 0xf91e 0xf99c 0xfbdf 0xfcfc 0xfd8d 
0xfaec 0xfa4e 0xf9cd 0xf944 0xf8b1 0xf83e 0xf810 0xf806 0xf818 0xf854 0xf8cd 0xf91b 0xf9c1 0xfbb4 0xfcd3 0xfd9d 
0xfb04 0xfa73 0xf9f2 0xf96c 0xf8e5 0xf885 0xf85f 0xf848 0xf844 0xf87d 0xf8d2 0xf939 0xfa42 0xfc2a 0xfd14 0xfd9f 
0xfb18 0xfa83 0xfa10 0xf9a2 0xf90a 0xf8b7 0xf89e 0xf87a 0xf890 0xf8ad 0xf93b 0xf98b 0xfad1 0xfc46 0xfd19 0xfda6 
0xfb42 0xfac7 0xfa5a 0xf9fb 0xf96f 0xf93a 0xf911 0xf8f5 0xf905 0xf939 0xf99d 0xf9fb 0xfb9a 0xfc6c 0xfd49 0xfdc2 
0xfb68 0xfaf1 0xfa90 0xfa35 0xf9d4 0xf982 0xf95f 0xf949 0xf955 0xf995 0xfa0b 0xfa69 0xfc1b 0xfc8c 0xfd45 0xfdb7 
0xfc2c 0xfb12 0xfae2 0xfa73 0xfa2f 0xf9e6 0xf9d1 0xf9cf 0xf9dd 0xfa04 0xfa85 0xfb3c 0xfc6c 0xfce8 0xfd85 0xfe03 
0x5110 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd86 0xf58c 0x1f0b 0xd947 0xfffa 0xfff8 0x0001 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b7 0x16df 0x16df 0x16df 0x16df 0x16dd 0x16dd 0x16dd 0xfd80 0xce21 0xd0e6 0xd8eb 0xfffb 0xfff6 0x0005 0x0008 
