1728233249
0xfdda 0xfdb8 0xfdcc 0xfdc3 0xfdb4 0xfdfc 0xfe25 0xfe08 0xfdeb 0xfde5 0xfdf6 0xfd09 0xfb98 0xfb92 0xfbea 0xfc31 
0xfde9 0xfdc3 0xfdc3 0xfdb2 0xfdaf 0xfded 0xfe36 0xfe07 0xfde2 0xfdf4 0xfdf7 0xfd0b 0xfb66 0xfb53 0xfba3 0xfbfa 
0xfdbe 0xfdae 0xfda5 0xfd9f 0xfd8b 0xfdf2 0xfe27 0xfe11 0xfddd 0xfe04 0xfdad 0xfcb5 0xfae7 0xfb02 0xfb6e 0xfbc1 
0xfdd8 0xfdba 0xfda6 0xfd8c 0xfd77 0xfdf2 0xfe27 0xfe1a 0xfdf0 0xfe0a 0xfdb6 0xfc4b 0xfa9c 0xfab7 0xfb36 0xfb9f 
0xfda0 0xfd82 0xfd65 0xfd68 0xfd37 0xfdc3 0xfdf8 0xfe04 0xfdf4 0xfde7 0xfdad 0xfb75 0xfa31 0xfa7b 0xfaff 0xfb7a 
0xfdab 0xfd79 0xfd64 0xfd50 0xfd47 0xfda9 0xfdd8 0xfdf7 0xfdde 0xfdd2 0xfd6a 0xfa85 0xfa16 0xfa69 0xfaf1 0xfb8e 
0xfd6f 0xfd39 0xfd2b 0xfd23 0xfce2 0xfd81 0xfd8a 0xfddc 0xfd9f 0xfd9b 0xfc43 0xf9e5 0xf9fe 0xfa50 0xfaf6 0xfb67 
0xfd7b 0xfd55 0xfd3e 0xfd07 0xfcf1 0xfd57 0xfd6d 0xfd8f 0xfd87 0xfd87 0xfaba 0xf9d5 0xfa03 0xfa71 0xfaf8 0xfb96 
0xfd3b 0xfd34 0xfd27 0xfd0e 0xfce1 0xfcf2 0xfcf2 0xfd31 0xfd60 0xfbe6 0xf9d1 0xf9f7 0xfa1f 0xfa77 0xfb28 0xfb96 
0xfd4d 0xfd3a 0xfd32 0xfce8 0xfcc3 0xfcb5 0xfcea 0xfd25 0xfcb8 0xfa38 0xf9ee 0xfa30 0xfa6b 0xfad1 0xfb5b 0xfbd4 
0xfd14 0xfcf8 0xfcd5 0xfcb8 0xfca6 0xfc71 0xfcb4 0xfcb1 0xfaae 0xfa0f 0xfa13 0xfa44 0xfaac 0xfb00 0xfb85 0xfbfa 
0xfd1a 0xfccf 0xfcb3 0xfc84 0xfc60 0xfc33 0xfc38 0xfae5 0xfa5b 0xfa4e 0xfa81 0xfaa7 0xfb06 0xfb5a 0xfbc3 0xfc23 
0x5519 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd2e 0xf533 0x20c5 0xd7f0 0xfffd 0xfffc 0x0008 0x000c 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05bd 0x16f7 0x16f7 0x16f7 0x16f7 0x16f6 0x16f6 0x16f6 0xfd2a 0xcc63 0xcf2f 0xd71e 0xfffe 0xfffa 0x000e 0x000b 
