1728235019
0xfc5e 0xfbf9 0xfbc3 0xfb75 0xfb15 0xfadd 0xfacb 0xfaa7 0xfaa6 0xfab4 0xfaef 0xfb47 0xfb71 0xfbac 0xfc2a 0xfcd0 
0xfc49 0xfbed 0xfb95 0xfb39 0xfad9 0xfa90 0xfa6e 0xfa68 0xfa4d 0xfa6c 0xfaa5 0xfae8 0xfb43 0xfba0 0xfc09 0xfc74 
0xfbf9 0xfb9d 0xfb37 0xface 0xfa81 0xfa1e 0xfa13 0xf9fd 0xf9e4 0xf9f2 0xfa47 0xfaac 0xfae0 0xfb43 0xfbd1 0xfc35 
0xfbf3 0xfb77 0xfb10 0xfab0 0xfa29 0xf9f9 0xf9cb 0xf9b2 0xf9bc 0xf9ce 0xfa41 0xfa7e 0xfadd 0xfb3e 0xfbbc 0xfc6a 
0xfbcf 0xfb4b 0xfad9 0xfa7a 0xfa01 0xf9a3 0xf97a 0xf96f 0xf974 0xf98c 0xf9e8 0xfa30 0xfa90 0xfb10 0xfbbd 0xfc10 
0xfbd3 0xfb4e 0xfae2 0xfa73 0xf9df 0xf993 0xf97f 0xf94a 0xf963 0xf991 0xf9d4 0xfa31 0xfaaf 0xfb27 0xfba3 0xfc15 
0xfba8 0xfb30 0xfac4 0xfa4b 0xf9ee 0xf97b 0xf950 0xf977 0xf93e 0xf973 0xf9e8 0xfa33 0xfaa9 0xfb17 0xfba2 0xfc28 
0xfbca 0xfb51 0xfafd 0xfa9b 0xfa08 0xf9cb 0xf9ae 0xf97d 0xf97e 0xf9b3 0xfa13 0xfa61 0xfacb 0xfb43 0xfbcb 0xfc40 
0xfbbc 0xfb5c 0xfaef 0xfaad 0xfa36 0xfa46 0xf9bf 0xf9b3 0xf9ab 0xf9da 0xfa22 0xfa9a 0xfad8 0xfb5a 0xfbd2 0xfc5c 
0xfbf4 0xfb9e 0xfb3c 0xfae3 0xfaab 0xfa57 0xfa28 0xfa1b 0xfa12 0xfa36 0xfa95 0xfafa 0xfb3f 0xfb92 0xfc19 0xfc9e 
0xfc20 0xfc1a 0xfb61 0xfb1e 0xfad1 0xfa9a 0xfa7b 0xfa73 0xfa56 0xfa88 0xfae4 0xfb32 0xfb74 0xfbe3 0xfc4c 0xfd31 
0xfdb8 0xfedc 0xfb9e 0xfb41 0xfb24 0xfad6 0xfadd 0xfab5 0xfab9 0xfaed 0xfb53 0xfb72 0xfbd1 0xfc21 0xfcd1 0xfdd8 
0x57b7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc7 0xf5c0 0x20a0 0xd791 0xfff8 0xfffa 0x0005 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a8 0x16a0 0x16a0 0x16a0 0x16a0 0x169f 0x169f 0x169f 0xfdc8 0xcb7f 0xce36 0xd6fc 0xfffd 0xfff6 0x0009 0x0008 
