1728235349
0xfde8 0xfdc0 0xfdad 0xfdaf 0xfd97 0xfd7c 0xfd78 0xfd7e 0xfd66 0xfd82 0xfd7d 0xfdac 0xfd9f 0xfca6 0xfcd0 0xfdef 
0xfe09 0xfde0 0xfdc1 0xfd9f 0xfd8b 0xfd6e 0xfd77 0xfd4e 0xfd50 0xfd6e 0xfd81 0xfda2 0xfdcd 0xfd1a 0xfca1 0xfd2b 
0xfde5 0xfdba 0xfd8a 0xfd7c 0xfd4f 0xfd3b 0xfd2e 0xfd25 0xfd22 0xfd3d 0xfd4d 0xfd7c 0xfda9 0xfd71 0xfc7a 0xfc9d 
0xfdef 0xfdbf 0xfd9b 0xfd6b 0xfd4e 0xfd2d 0xfd39 0xfd28 0xfd2c 0xfd3b 0xfd50 0xfd7f 0xfda9 0xfdca 0xfc96 0xfca2 
0xfdc0 0xfd9a 0xfd78 0xfd52 0xfd32 0xfd21 0xfd22 0xfd2d 0xfd09 0xfd12 0xfd45 0xfd6d 0xfd92 0xfdbb 0xfc89 0xfc7a 
0xfde1 0xfda6 0xfd87 0xfd66 0xfd53 0xfd43 0xfd3e 0xfd29 0xfd17 0xfd1e 0xfd70 0xfd6c 0xfda4 0xfdc5 0xfc9e 0xfc7f 
0xfdb1 0xfd8b 0xfd71 0xfd6b 0xfd41 0xfd28 0xfd25 0xfd0b 0xfd04 0xfd26 0xfd61 0xfd6c 0xfd92 0xfdaa 0xfc7a 0xfc70 
0xfdc9 0xfd98 0xfd91 0xfd70 0xfd51 0xfd3b 0xfd31 0xfd39 0xfd60 0xfd6a 0xfd7b 0xfd80 0xfdaa 0xfd9e 0xfc8b 0xfc87 
0xfda9 0xfd8d 0xfd6d 0xfd56 0xfd33 0xfd12 0xfd3f 0xfd55 0xfd56 0xfd60 0xfd52 0xfd86 0xfda1 0xfd24 0xfc5b 0xfc8d 
0xfdc8 0xfda0 0xfd81 0xfd61 0xfd4d 0xfd4a 0xfd81 0xfd7b 0xfd78 0xfd5a 0xfd6a 0xfda2 0xfd9e 0xfcbc 0xfc8f 0xfcb0 
0xfd8f 0xfd7c 0xfd69 0xfd56 0xfd4c 0xfd30 0xfd5c 0xfd72 0xfd55 0xfcf9 0xfd59 0xfd79 0xfd24 0xfc5b 0xfc78 0xfce2 
0xfd86 0xfd62 0xfd65 0xfd3b 0xfd32 0xfd2f 0xfd4e 0xfd44 0xfd22 0xfd19 0xfd5d 0xfd20 0xfc94 0xfc76 0xfcc3 0xfd8a 
0x53d4 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdfc 0xf5b1 0x1efd 0xd76d 0xfffe 0xffff 0x0005 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ac 0x16b1 0x16b1 0x16b1 0x16b1 0x16b0 0x16b0 0x16b0 0xfdf8 0xccc7 0xcece 0xd7ee 0x0000 0xfffc 0x0009 0x000d 
