1728232469
0xfc1a 0xfb73 0xfb18 0xfacb 0xfa69 0xfa0e 0xf9ef 0xf9d3 0xf9c1 0xf9f5 0xfa32 0xfa9b 0xfadc 0xfb25 0xfbcf 0xfd49 
0xfbd1 0xfb5e 0xfaeb 0xfa72 0xfa14 0xf9a8 0xf992 0xf93d 0xf951 0xf97d 0xf9d5 0xfa2a 0xfa89 0xfaec 0xfb69 0xfc52 
0xfb84 0xfae8 0xfa58 0xf9fb 0xf963 0xf90b 0xf8ed 0xf8bc 0xf8a4 0xf8e2 0xf934 0xf99b 0xfa10 0xfa7a 0xfb0e 0xfb95 
0xfb55 0xfac1 0xfa3c 0xf9ac 0xf933 0xf8b1 0xf896 0xf85c 0xf853 0xf891 0xf8e3 0xf95b 0xf9bc 0xfa73 0xfaf1 0xfb8e 
0xfb10 0xfa74 0xf9ec 0xf94d 0xf8bc 0xf850 0xf81e 0xf813 0xf7f8 0xf825 0xf88f 0xf8fe 0xf97a 0xfa1e 0xfab0 0xfb51 
0xfb19 0xfa6b 0xf9e0 0xf941 0xf8ad 0xf852 0xf813 0xf7e9 0xf7f5 0xf803 0xf888 0xf8e8 0xf969 0xfa0b 0xfaa7 0xfb4c 
0xfae1 0xfa48 0xf9c0 0xf944 0xf8a2 0xf82a 0xf7f5 0xf7c2 0xf7c2 0xf7f1 0xf885 0xf8e1 0xf94f 0xf9f3 0xfa98 0xfb42 
0xfb03 0xfa63 0xf9f2 0xf96e 0xf8d8 0xf863 0xf82e 0xf828 0xf811 0xf842 0xf8cb 0xf918 0xf973 0xfa24 0xfae3 0xfb6c 
0xfafb 0xfa73 0xf9f5 0xf975 0xf8d5 0xf85c 0xf854 0xf82d 0xf824 0xf87f 0xf8c2 0xf938 0xf9ab 0xfa34 0xfae4 0xfb80 
0xfb47 0xfabb 0xfa45 0xf9d3 0xf95c 0xf8f2 0xf8cd 0xf8a8 0xf89f 0xf8e1 0xf942 0xf9a8 0xfa11 0xfa9a 0xfb4e 0xfbc2 
0xfb40 0xfad4 0xfa6a 0xfa07 0xf9ad 0xf93f 0xf93d 0xf915 0xf90b 0xf91e 0xf993 0xf9db 0xfa5f 0xfacd 0xfb60 0xfc0e 
0xfb7b 0xfaf9 0xfac2 0xfa44 0xf9f3 0xf9b1 0xf9b0 0xf971 0xf99b 0xf998 0xfa11 0xfa5b 0xface 0xfb3a 0xfbdf 0xfceb 
0x509a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdca 0xf586 0x1d95 0xd761 0xfff3 0xfff5 0x0001 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05fd 0x17f5 0x17f5 0x17f5 0x17f5 0x17f4 0x17f4 0x17f4 0xfdc7 0xcce9 0xced9 0xd7ed 0xfff1 0xfff3 0x0003 0x0005 
