1728233939
0xfe9e 0xfe9f 0xfeb7 0xfee3 0xfeed 0xfef2 0xfee6 0xfec0 0xfe2b 0xfe2d 0xfd9d 0xfd5e 0xfd7a 0xfcee 0xfc5f 0xfd15 
0xfede 0xfedd 0xfef1 0xff05 0xff0f 0xff14 0xff01 0xfed5 0xfe27 0xfe21 0xfd8e 0xfd71 0xfdb0 0xfcf3 0xfc3c 0xfc6b 
0xfebf 0xfedb 0xfef8 0xff0c 0xff13 0xff14 0xfef2 0xfee9 0xfe3d 0xfdac 0xfdb7 0xfdb0 0xfd8a 0xfc78 0xfbef 0xfc34 
0xfeea 0xfef1 0xff0f 0xff1d 0xff2b 0xff2f 0xff29 0xff02 0xfe9e 0xfd8f 0xfe20 0xfe38 0xfd5a 0xfbf1 0xfbcc 0xfc14 
0xfecc 0xfeda 0xfee6 0xff1d 0xff1e 0xff19 0xff1b 0xff09 0xfeab 0xfe74 0xfe76 0xfdfe 0xfce4 0xfb45 0xfb6f 0xfbec 
0xfed6 0xfee2 0xfee6 0xff02 0xff0d 0xff02 0xff0b 0xfef5 0xfeb4 0xfe96 0xfe61 0xfd74 0xfbb3 0xfb45 0xfb74 0xfbe2 
0xfeb5 0xfec9 0xfec2 0xfed2 0xfed6 0xfecb 0xfed2 0xfed0 0xfeae 0xfe7f 0xfddf 0xfc3a 0xfae0 0xfaf9 0xfb6c 0xfbf8 
0xfebb 0xfec5 0xfed3 0xfecf 0xfebc 0xfeb9 0xfec6 0xfec8 0xfe9e 0xfe61 0xfcdb 0xfaea 0xfac4 0xfb08 0xfb8a 0xfc06 
0xfe85 0xfe93 0xfeac 0xfec4 0xfe96 0xfe8e 0xfe90 0xfe92 0xfe69 0xfd24 0xfb1c 0xfa95 0xfac4 0xfb12 0xfb90 0xfc1a 
0xfe70 0xfe86 0xfe9e 0xfe9c 0xfe78 0xfe7b 0xfe78 0xfe52 0xfd7e 0xfb39 0xfab0 0xfac4 0xfb07 0xfb69 0xfbe5 0xfc66 
0xfe13 0xfe3e 0xfe50 0xfe5c 0xfe43 0xfe19 0xfd9f 0xfc70 0xfb08 0xfaaf 0xfadd 0xfaf7 0xfb44 0xfb9a 0xfc1f 0xfcd5 
0xfda6 0xfd58 0xfd9f 0xfd7c 0xfd0b 0xfc27 0xfb6a 0xfb03 0xfadb 0xfad6 0xfb25 0xfb4b 0xfb8f 0xfbe0 0xfc8c 0xfdc7 
0x5311 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd91 0xf5a3 0x1ff8 0xd950 0x0003 0xfffd 0x0005 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0587 0x161c 0x161c 0x161c 0x161c 0x161a 0x161a 0x161a 0xfd90 0xce0b 0xd0e5 0xd8ed 0x0003 0xffff 0x000b 0x000b 
