1728233369
0xfc8a 0xfc07 0xfbbf 0xfb8a 0xfb38 0xfaee 0xfada 0xfac5 0xfab6 0xfae2 0xfb14 0xfb67 0xfb99 0xfbcc 0xfc50 0xfd7c 
0xfc59 0xfc00 0xfba6 0xfb45 0xfb01 0xfaa5 0xfa9b 0xfa54 0xfa63 0xfa89 0xfacc 0xfb10 0xfb5c 0xfba4 0xfc06 0xfcba 
0xfc17 0xfb9f 0xfb2c 0xfae8 0xfa6c 0xfa29 0xfa13 0xf9eb 0xf9d7 0xfa09 0xfa4e 0xfa9f 0xfaf9 0xfb47 0xfbbd 0xfc29 
0xfbf3 0xfb80 0xfb19 0xfaa9 0xfa4a 0xf9e5 0xf9d2 0xf9a1 0xf99a 0xf9ce 0xfa0f 0xfa70 0xfaba 0xfb4b 0xfbac 0xfc25 
0xfbbe 0xfb43 0xfad8 0xfa5b 0xf9e9 0xf996 0xf96f 0xf96a 0xf952 0xf975 0xf9c8 0xfa24 0xfa81 0xfb04 0xfb75 0xfbf6 
0xfbc5 0xfb3a 0xfad0 0xfa53 0xf9e3 0xf99a 0xf96c 0xf948 0xf954 0xf95a 0xf9cd 0xfa11 0xfa7a 0xfaf7 0xfb71 0xfbf4 
0xfb95 0xfb19 0xfab3 0xfa5a 0xf9d4 0xf977 0xf952 0xf92a 0xf927 0xf94b 0xf9c0 0xfa10 0xfa5e 0xfae1 0xfb64 0xfbea 
0xfbb2 0xfb34 0xfadf 0xfa7a 0xfa05 0xf9a4 0xf97e 0xf978 0xf968 0xf990 0xfa00 0xfa39 0xfa82 0xfb0c 0xfba5 0xfc0d 
0xfba3 0xfb3b 0xfad6 0xfa79 0xf9fc 0xf99a 0xf993 0xf978 0xf96f 0xf9be 0xf9ee 0xfa51 0xfaa5 0xfb14 0xfb9e 0xfc1c 
0xfbe0 0xfb74 0xfb19 0xfac1 0xfa66 0xfa0f 0xf9f9 0xf9d9 0xf9d1 0xfa07 0xfa57 0xfaa5 0xfb04 0xfb73 0xfbfa 0xfc4f 
0xfbd2 0xfb7c 0xfb2e 0xfae2 0xfaa1 0xfa45 0xfa49 0xfa2b 0xfa23 0xfa2b 0xfa8f 0xfac5 0xfb45 0xfb8d 0xfbfb 0xfc86 
0xfbfd 0xfb97 0xfb73 0xfb0d 0xfacf 0xfa9c 0xfa9e 0xfa69 0xfa8e 0xfa8b 0xfaed 0xfb28 0xfba0 0xfbe2 0xfc64 0xfd2c 
0x54d8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda8 0xf5bf 0x1f72 0xd771 0xfffa 0xfffa 0x0005 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0592 0x164b 0x164b 0x164b 0x164b 0x164a 0x164a 0x164a 0xfda5 0xccc7 0xced4 0xd7ef 0xfffa 0xfff7 0x0007 0x000b 
