1728238079
0xfc26 0xfbeb 0xfbbd 0xfb78 0xfb1c 0xfb09 0xfaf0 0xfabe 0xfae0 0xfb5f 0xfbc7 0xfc0e 0xfc1b 0xfc25 0xfbfe 0xfc5b 
0xfc42 0xfbdc 0xfb8a 0xfb33 0xfae0 0xfa93 0xfa7f 0xfa5c 0xfaa3 0xfb03 0xfb91 0xfbd7 0xfc07 0xfc3d 0xfc74 0xfc11 
0xfbf0 0xfb8b 0xfb2f 0xfae1 0xfa70 0xf9f2 0xf9e8 0xf9ea 0xf9fc 0xfa95 0xfb37 0xfb9f 0xfbc0 0xfc0d 0xfc56 0xfc4b 
0xfbe3 0xfb66 0xfafe 0xfade 0xfa58 0xf9fb 0xf9b2 0xf9c1 0xf9cb 0xfa11 0xfb07 0xfb64 0xfbb2 0xfc12 0xfc7f 0xfc9e 
0xfbbd 0xfb30 0xfaaa 0xfa54 0xfa14 0xf9b6 0xf9c6 0xf9d5 0xf9af 0xf9a5 0xfaa5 0xfb11 0xfb6d 0xfbe8 0xfc67 0xfc68 
0xfbd5 0xfb36 0xfac8 0xfa1e 0xf9a5 0xf97b 0xf9a6 0xf9bd 0xf99e 0xf973 0xfa4d 0xfb00 0xfba0 0xfc13 0xfc75 0xfc7c 
0xfbba 0xfb0e 0xfac5 0xfa32 0xf9ac 0xf954 0xf939 0xf9c0 0xf953 0xf995 0xfa57 0xfb0b 0xfb8f 0xfc08 0xfc6e 0xfc88 
0xfc08 0xfb53 0xfafd 0xfaa1 0xf9e9 0xf9ab 0xf9ab 0xf973 0xf971 0xf9d5 0xfa6c 0xfb03 0xfba2 0xfc23 0xfc89 0xfc8f 
0xfc05 0xfb96 0xfb06 0xfada 0xfa3b 0xfa26 0xf9be 0xf9e9 0xf9d7 0xf9ef 0xfa00 0xfaee 0xfb7c 0xfc21 0xfc7d 0xfc90 
0xfc3a 0xfbf4 0xfb8a 0xfb1a 0xfad4 0xfa59 0xfa1c 0xfa20 0xfa2d 0xfa1f 0xfa61 0xfb35 0xfba0 0xfc38 0xfc98 0xfca0 
0xfc3f 0xfbf4 0xfbc2 0xfb8d 0xfb2b 0xfabd 0xfa7b 0xfa7d 0xfa5a 0xfa59 0xfaa5 0xfb4d 0xfbab 0xfc44 0xfc98 0xfd20 
0xfc9c 0xfc03 0xfbeb 0xfbb7 0xfb8e 0xfb27 0xfaf5 0xfa9e 0xfac4 0xface 0xfb22 0xfb55 0xfbe2 0xfc5a 0xfce2 0xfdc1 
0x4f94 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd80 0xf562 0x1d30 0xd782 0xfff4 0xfff6 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0669 0x19a6 0x19a6 0x19a6 0x19a6 0x19a5 0x19a5 0x19a5 0xfd80 0xcbe8 0xce56 0xd70e 0xfff6 0xfff1 0x0002 0x0006 
