1728237869
0xfb8c 0xfacb 0xfa63 0xfa0b 0xf993 0xf92d 0xf90c 0xf8e9 0xf8d9 0xf90e 0xf95a 0xf9d0 0xfa1d 0xfa73 0xfb38 0xfcfc 
0xfb30 0xfaab 0xfa28 0xf99c 0xf931 0xf8b8 0xf899 0xf83c 0xf84f 0xf882 0xf8e9 0xf94d 0xf9ba 0xfa28 0xfaba 0xfc16 
0xfad8 0xfa25 0xf983 0xf914 0xf865 0xf802 0xf7de 0xf7a7 0xf78d 0xf7d1 0xf830 0xf8a2 0xf92c 0xf9a8 0xfa52 0xfb52 
0xfa9b 0xf9f9 0xf95f 0xf8b9 0xf82d 0xf799 0xf777 0xf737 0xf72b 0xf771 0xf7d2 0xf85a 0xf8cc 0xf99a 0xfa2d 0xfb28 
0xfa55 0xf99e 0xf904 0xf84d 0xf7a6 0xf72a 0xf6ef 0xf6e4 0xf6c1 0xf6f9 0xf770 0xf7ee 0xf87f 0xf938 0xf9e6 0xfacd 
0xfa59 0xf992 0xf8f4 0xf83e 0xf794 0xf72b 0xf6e2 0xf6b1 0xf6bf 0xf6cf 0xf768 0xf7d2 0xf868 0xf921 0xf9d5 0xfac3 
0xfa1f 0xf96f 0xf8d3 0xf843 0xf787 0xf6ff 0xf6be 0xf68a 0xf686 0xf6c0 0xf764 0xf7cc 0xf849 0xf908 0xf9c4 0xfab4 
0xfa43 0xf991 0xf90b 0xf870 0xf7c5 0xf73c 0xf702 0xf6f7 0xf6e1 0xf713 0xf7b2 0xf808 0xf876 0xf93b 0xfa15 0xfaf2 
0xfa3f 0xf9a4 0xf910 0xf87b 0xf7ca 0xf73b 0xf72e 0xf703 0xf6f7 0xf760 0xf7ad 0xf832 0xf8b5 0xf954 0xfa1b 0xfb19 
0xfa91 0xf9f5 0xf96c 0xf8eb 0xf862 0xf7e6 0xf7bd 0xf78e 0xf785 0xf7cd 0xf83e 0xf8ae 0xf92a 0xf9c8 0xfa96 0xfb7c 
0xfa96 0xfa16 0xf99e 0xf929 0xf8c0 0xf844 0xf83c 0xf810 0xf808 0xf81e 0xf89e 0xf8ef 0xf985 0xfa04 0xfab1 0xfbe2 
0xfadd 0xfa47 0xfa08 0xf978 0xf916 0xf8ca 0xf8c7 0xf87d 0xf8ad 0xf8a9 0xf931 0xf982 0xfa07 0xfa81 0xfb42 0xfca7 
0x4df8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd72 0xf565 0x1c83 0xd756 0xffec 0xffef 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063f 0x18fd 0x18fd 0x18fd 0x18fd 0x18fc 0x18fc 0x18fc 0xfd6e 0xccfe 0xceda 0xd7ea 0xffec 0xffee 0xffff 0x0001 
