1728235139
0xfdac 0xfd7e 0xfd49 0xfd2b 0xfcba 0xfc41 0xfb5c 0xfa09 0xf9e2 0xf9f8 0xfa3f 0xfa8d 0xfbda 0xfb97 0xfbf0 0xfced 
0xfdb6 0xfd80 0xfd45 0xfce9 0xfc5c 0xfb6f 0xf9cd 0xf971 0xf959 0xf97b 0xf9ce 0xfa31 0xfe7a 0xfbbe 0xfbde 0xfc34 
0xfd71 0xfd35 0xfcf6 0xfc97 0xfb99 0xf98c 0xf8f5 0xf8dd 0xf8d8 0xf90b 0xf961 0xf9f9 0x0782 0xfc1d 0xfbc1 0xfc05 
0xfd86 0xfd2b 0xfcc8 0xfc1b 0xf9d9 0xf8cc 0xf8b3 0xf892 0xf88f 0xf8af 0xf912 0xf991 0xfa01 0xfa8a 0xfb33 0xfbba 
0xfd43 0xfcd7 0xfc49 0xfa61 0xf8fc 0xf89b 0xf857 0xf83e 0xf827 0xf867 0xf8c5 0xf933 0xf9bc 0xfa25 0xfad1 0xfb88 
0xfd14 0xfc76 0xfae1 0xf985 0xf8de 0xf87f 0xf853 0xf839 0xf81c 0xf868 0xf8e2 0xf935 0xf9aa 0xfa6a 0xfae4 0xfb7d 
0xfc74 0xfb2d 0xf9f8 0xf965 0xf8d0 0xf854 0xf822 0xf816 0xf82d 0xf864 0xf8e0 0xf932 0xf9ae 0xfa3f 0xfaee 0xfba0 
0xfbf4 0xfa9d 0xfa13 0xf98b 0xf903 0xf898 0xf874 0xf85b 0xf854 0xf88f 0xf8e7 0xf94e 0xf9e4 0xfa69 0xfb18 0xfbb8 
0xfb43 0xfaa1 0xfa31 0xf9be 0xf929 0xf8d2 0xf8b3 0xf88d 0xf8a3 0xf8da 0xf963 0xf99e 0xfa0e 0xfa89 0xfb2e 0xfbd4 
0xfb65 0xfae7 0xfa7b 0xfa18 0xf98b 0xf956 0xf92c 0xf90a 0xf929 0xf96c 0xf9b5 0xfa0d 0xfa73 0xfaf8 0xfb8e 0xfc2c 
0xfb89 0xfb11 0xfab1 0xfa53 0xf9ed 0xf99b 0xf978 0xf960 0xf995 0xf9b3 0xfa27 0xfa63 0xfac9 0xfb33 0xfbd6 0xfcad 
0xfc55 0xfb35 0xfafd 0xfa8e 0xfa4c 0xfa03 0xf9ef 0xf9f3 0xfa0f 0xfa24 0xfa93 0xfad1 0xfb27 0xfb91 0xfc5b 0xfdcb 
0x5058 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdeb 0xf584 0x1ebb 0xd944 0xfff8 0xfff9 0x0002 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c9 0x1726 0x1726 0x1726 0x1726 0x1725 0x1725 0x1725 0xfde7 0xce21 0xd0df 0xd8ec 0xfffa 0xfff6 0x0005 0x0005 
