1728238109
0xfbd8 0xfb53 0xfaeb 0xfab8 0xfa46 0xfa06 0xf9cd 0xf9ca 0xf9c4 0xf9d7 0xfa19 0xfafc 0xfc56 0xfccf 0xfd48 0xfd96 
0xfb9f 0xfb35 0xfac2 0xfa5a 0xf9dd 0xf990 0xf974 0xf955 0xf93f 0xf962 0xf9b5 0xfab7 0xfc55 0xfcda 0xfd49 0xfd6d 
0xfb3b 0xfabf 0xfa60 0xfa03 0xf968 0xf90c 0xf8de 0xf8ca 0xf8ca 0xf8fe 0xf94d 0xfa5d 0xfc28 0xfcaf 0xfd0f 0xfd53 
0xfb40 0xfab6 0xfa36 0xf9ce 0xf924 0xf8b9 0xf8a3 0xf88c 0xf887 0xf8a8 0xf907 0xfa37 0xfc19 0xfcc0 0xfd1f 0xfd4b 
0xfb06 0xfa6c 0xf9fd 0xf97e 0xf8e1 0xf88e 0xf84f 0xf83f 0xf828 0xf867 0xf8c1 0xf9df 0xfbed 0xfc79 0xfcef 0xfd3b 
0xfaf4 0xfa6b 0xf9e5 0xf968 0xf8cf 0xf87c 0xf850 0xf83b 0xf823 0xf86a 0xf8e1 0xf9df 0xfbe8 0xfc9d 0xfd01 0xfd46 
0xfae9 0xfa4e 0xf9d2 0xf94f 0xf8c4 0xf854 0xf826 0xf81d 0xf833 0xf86b 0xf8e2 0xf9e3 0xfbcd 0xfc29 0xfcf2 0xfd3f 
0xfb02 0xfa74 0xf9f8 0xf976 0xf8f9 0xf897 0xf873 0xf85c 0xf85a 0xf892 0xf8e4 0xf9ed 0xfbcf 0xfc32 0xfcd8 0xfd3c 
0xfb17 0xfa85 0xfa14 0xf9ab 0xf91b 0xf8cb 0xf8b0 0xf88c 0xf8a2 0xf8c3 0xf94b 0xfa2e 0xfbf8 0xfc0b 0xfc83 0xfd17 
0xfb3f 0xfac8 0xfa5f 0xfa03 0xf97d 0xf94a 0xf920 0xf905 0xf912 0xf947 0xf9b6 0xfaa7 0xfbf5 0xfc38 0xfcc5 0xfd45 
0xfb69 0xfaf2 0xfa94 0xfa3c 0xf9e1 0xf990 0xf96a 0xf955 0xf960 0xf9a3 0xfa49 0xfab7 0xfc16 0xfc75 0xfd00 0xfd74 
0xfc26 0xfb18 0xfae6 0xfa79 0xfa3a 0xf9f0 0xf9dd 0xf9d8 0xf9e7 0xfa37 0xfa89 0xfafe 0xfc81 0xfced 0xfd6b 0xfddd 
0x51b3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd54 0xf596 0x1f52 0xd94b 0xfffa 0xfff8 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a8 0x16a1 0x16a1 0x16a1 0x16a1 0x16a0 0x16a0 0x16a0 0xfd4f 0xce22 0xd0ec 0xd8ec 0xfffd 0xfff9 0x0003 0x0006 
