1728232409
0xfd66 0xfcf2 0xfc08 0xfada 0xfa78 0xfa33 0xfa18 0xf9ef 0xfa02 0xfa04 0xfa45 0xfa7c 0xface 0xfb1b 0xfb9e 0xfbf6 
0xfd2d 0xfd0e 0xfc37 0xfa88 0xfa1e 0xf9be 0xf99b 0xf979 0xf969 0xf99d 0xf9ff 0xfa2e 0xfa93 0xfadb 0xfb58 0xfbc0 
0xfd45 0xfd12 0xfc57 0xfa2e 0xf9b3 0xf958 0xf917 0xf910 0xf8f8 0xf91d 0xf96f 0xf9cb 0xfa18 0xfa89 0xfb26 0xfb8a 
0xfd75 0xfd27 0xfc9a 0xfa31 0xf960 0xf8ff 0xf8c7 0xf8a9 0xf8a0 0xf8d0 0xf935 0xf980 0xf9da 0xfa47 0xfaee 0xfb69 
0xfd4a 0xfcf8 0xfc8e 0xfa58 0xf919 0xf8b1 0xf87f 0xf876 0xf856 0xf89b 0xf8f0 0xf940 0xf988 0xfa11 0xfabb 0xfb49 
0xfd47 0xfd15 0xfcb8 0xfac9 0xf90a 0xf8a2 0xf889 0xf84f 0xf841 0xf880 0xf8d9 0xf912 0xf985 0xfa0b 0xfab1 0xfb5d 
0xfd24 0xfcec 0xfcb7 0xfb46 0xf8f9 0xf87c 0xf861 0xf85d 0xf822 0xf853 0xf8a2 0xf910 0xf985 0xf9fc 0xfabc 0xfb3a 
0xfd48 0xfd10 0xfce0 0xfbb2 0xf93f 0xf8c1 0xf8c1 0xf87e 0xf85f 0xf89e 0xf8e9 0xf93e 0xf99d 0xfa2a 0xfac2 0xfb65 
0xfd2d 0xfcff 0xfcdb 0xfc07 0xf9ad 0xf8da 0xf89f 0xf8a4 0xf8b0 0xf8a4 0xf900 0xf987 0xf9c7 0xfa36 0xfafc 0xfb6e 
0xfd35 0xfd02 0xfce3 0xfc4b 0xfa48 0xf941 0xf93e 0xf8f3 0xf915 0xf905 0xf962 0xf9d2 0xfa2b 0xfaca 0xfb33 0xfbaf 
0xfd0f 0xfcd8 0xfcd3 0xfc70 0xfaf2 0xf98b 0xf98a 0xf952 0xf953 0xf96a 0xf9a7 0xfa08 0xfa90 0xfad1 0xfb5a 0xfbd1 
0xfd0d 0xfcba 0xfcc2 0xfc40 0xfb42 0xf9de 0xf9d8 0xf9bd 0xf9b4 0xf9d9 0xfa3c 0xfa84 0xfacc 0xfb26 0xfb99 0xfbfd 
0x54dd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcf9 0xf532 0x20a5 0xd7f3 0xfff9 0xfff8 0x0009 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c3 0x170e 0x170e 0x170e 0x170e 0x170d 0x170d 0x170d 0xfcfa 0xcc64 0xcf30 0xd720 0xfff8 0xfff6 0x000d 0x000b 
