1728235559
0xfcef 0xfbf5 0xfbca 0xfb66 0xfb16 0xfadf 0xfaca 0xfaa4 0xfaba 0xfab7 0xfaf0 0xfb1c 0xfb62 0xfba4 0xfc16 0xfcbf 
0xfc48 0xfbcd 0xfb7a 0xfb21 0xfad0 0xfa7d 0xfa5b 0xfa3e 0xfa33 0xfa65 0xfab5 0xfadc 0xfb36 0xfb6f 0xfbdb 0xfca5 
0xfbee 0xfb7a 0xfb2d 0xfaca 0xfa71 0xfa21 0xf9eb 0xf9eb 0xf9d5 0xf9f5 0xfa39 0xfa89 0xfacc 0xfb2b 0xfbb1 0xfc84 
0xfbe3 0xfb5e 0xfb03 0xfa96 0xfa28 0xf9d3 0xf9a5 0xf98e 0xf98b 0xf9b3 0xfa0a 0xfa4c 0xfa9a 0xfaf6 0xfb87 0xfc67 
0xfbae 0xfb18 0xfac5 0xfa5e 0xf9e7 0xf990 0xf968 0xf964 0xf94b 0xf989 0xf9cd 0xfa12 0xfa50 0xfac5 0xfb59 0xfc3e 
0xfb97 0xfb30 0xfac1 0xfa4c 0xf9d4 0xf984 0xf976 0xf941 0xf939 0xf96e 0xf9bc 0xf9ec 0xfa50 0xfac0 0xfb51 0xfc49 
0xfb8b 0xfb04 0xfaa1 0xfa39 0xf9c1 0xf95f 0xf94d 0xf950 0xf91c 0xf948 0xf98c 0xf9eb 0xfa50 0xfab2 0xfb59 0xfc36 
0xfb9a 0xfb20 0xfac9 0xfa46 0xf9e0 0xf99b 0xf99e 0xf969 0xf951 0xf988 0xf9c7 0xfa14 0xfa64 0xfade 0xfb61 0xfc66 
0xfb97 0xfb1f 0xfacf 0xfa71 0xfa0b 0xf9ae 0xf97b 0xf985 0xf993 0xf98e 0xf9f7 0xfa52 0xfa88 0xfae5 0xfb8e 0xfc85 
0xfbb8 0xfb54 0xfaff 0xfaa1 0xfa44 0xfa07 0xfa06 0xf9c8 0xf9ec 0xfa26 0xfa4a 0xfa95 0xfad4 0xfb39 0xfbb8 0xfcd0 
0xfbc1 0xfb5f 0xfb29 0xfaea 0xfa98 0xfa42 0xfa47 0xfa1a 0xfa3b 0xfa57 0xfa6d 0xfaae 0xfb12 0xfb60 0xfbdc 0xfd04 
0xfc3c 0xfb73 0xfb49 0xfae2 0xfaac 0xfa80 0xfa89 0xfa71 0xfaa9 0xfa96 0xfadc 0xfb0a 0xfb5b 0xfbaa 0xfc21 0xfd24 
0x57a3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd26 0xf54e 0x21fd 0xd7fc 0xfffa 0xfff7 0x000a 0x000c 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057f 0x15fd 0x15fd 0x15fd 0x15fd 0x15fc 0x15fc 0x15fc 0xfd25 0xcc44 0xcf28 0xd726 0xfffd 0xfff7 0x000c 0x000c 
